set horizon := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 ;

set datasets := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 ;

set weatherBins := 0 ;

param energyDemand := 
13 20 23.600000 
13 21 22.600000 
13 22 22.000000 
13 23 21.400000 
14 0 21.700000 
14 1 22.000000 
14 2 22.400000 
14 3 21.700000 
14 4 21.200000 
14 5 20.300000 
14 6 19.200000 
14 7 18.200000 
14 8 18.100000 
14 9 21.300000 
14 10 24.000000 
14 11 26.100000 
14 12 27.900000 
14 13 29.300000 
14 14 29.700000 
14 15 30.600000 
14 16 30.200000 
14 17 29.600000 
14 18 28.700000 
14 19 25.900000 
14 20 24.500000 
14 21 23.100000 
14 22 21.600000 
14 23 21.800000;

param weatherBinIndicator := 
0 0 0 1.000000 
0 1 0 1.000000 
0 2 0 1.000000 
0 3 0 1.000000 
0 4 0 1.000000 
0 5 0 1.000000 
0 6 0 1.000000 
0 7 0 1.000000 
0 8 0 1.000000 
0 9 0 1.000000 
0 10 0 1.000000 
0 11 0 1.000000 
0 12 0 1.000000 
0 13 0 1.000000 
0 14 0 1.000000 
0 15 0 1.000000 
0 16 0 1.000000 
0 17 0 1.000000 
0 18 0 1.000000 
0 19 0 1.000000 
0 20 0 1.000000 
0 21 0 1.000000 
0 22 0 1.000000 
0 23 0 1.000000 
1 0 0 1.000000 
1 1 0 1.000000 
1 2 0 1.000000 
1 3 0 1.000000 
1 4 0 1.000000 
1 5 0 1.000000 
1 6 0 1.000000 
1 7 0 1.000000 
1 8 0 1.000000 
1 9 0 1.000000 
1 10 0 1.000000 
1 11 0 1.000000 
1 12 0 1.000000 
1 13 0 1.000000 
1 14 0 1.000000 
1 15 0 1.000000 
1 16 0 1.000000 
1 17 0 1.000000 
1 18 0 1.000000 
1 19 0 1.000000 
1 20 0 1.000000 
1 21 0 1.000000 
1 22 0 1.000000 
1 23 0 1.000000 
2 0 0 1.000000 
2 1 0 1.000000 
2 2 0 1.000000 
2 3 0 1.000000 
2 4 0 1.000000 
2 5 0 1.000000 
2 6 0 1.000000 
2 7 0 1.000000 
2 8 0 1.000000 
2 9 0 1.000000 
2 10 0 1.000000 
2 11 0 1.000000 
2 12 0 1.000000 
2 13 0 1.000000 
2 14 0 1.000000 
2 15 0 1.000000 
2 16 0 1.000000 
2 17 0 1.000000 
2 18 0 1.000000 
2 19 0 1.000000 
2 20 0 1.000000 
2 21 0 1.000000 
2 22 0 1.000000 
2 23 0 1.000000 
3 0 0 1.000000 
3 1 0 1.000000 
3 2 0 1.000000 
3 3 0 1.000000 
3 4 0 1.000000 
3 5 0 1.000000 
3 6 0 1.000000 
3 7 0 1.000000 
3 8 0 1.000000 
3 9 0 1.000000 
3 10 0 1.000000 
3 11 0 1.000000 
3 12 0 1.000000 
3 13 0 1.000000 
3 14 0 1.000000 
3 15 0 1.000000 
3 16 0 1.000000 
3 17 0 1.000000 
3 18 0 1.000000 
3 19 0 1.000000 
3 20 0 1.000000 
3 21 0 1.000000 
3 22 0 1.000000 
3 23 0 1.000000 
4 0 0 1.000000 
4 1 0 1.000000 
4 2 0 1.000000 
4 3 0 1.000000 
4 4 0 1.000000 
4 5 0 1.000000 
4 6 0 1.000000 
4 7 0 1.000000 
4 8 0 1.000000 
4 9 0 1.000000 
4 10 0 1.000000 
4 11 0 1.000000 
4 12 0 1.000000 
4 13 0 1.000000 
4 14 0 1.000000 
4 15 0 1.000000 
4 16 0 1.000000 
4 17 0 1.000000 
4 18 0 1.000000 
4 19 0 1.000000 
4 20 0 1.000000 
4 21 0 1.000000 
4 22 0 1.000000 
4 23 0 1.000000 
5 0 0 1.000000 
5 1 0 1.000000 
5 2 0 1.000000 
5 3 0 1.000000 
5 4 0 1.000000 
5 5 0 1.000000 
5 6 0 1.000000 
5 7 0 1.000000 
5 8 0 1.000000 
5 9 0 1.000000 
5 10 0 1.000000 
5 11 0 1.000000 
5 12 0 1.000000 
5 13 0 1.000000 
5 14 0 1.000000 
5 15 0 1.000000 
5 16 0 1.000000 
5 17 0 1.000000 
5 18 0 1.000000 
5 19 0 1.000000 
5 20 0 1.000000 
5 21 0 1.000000 
5 22 0 1.000000 
5 23 0 1.000000 
6 0 0 1.000000 
6 1 0 1.000000 
6 2 0 1.000000 
6 3 0 1.000000 
6 4 0 1.000000 
6 5 0 1.000000 
6 6 0 1.000000 
6 7 0 1.000000 
6 8 0 1.000000 
6 9 0 1.000000 
6 10 0 1.000000 
6 11 0 1.000000 
6 12 0 1.000000 
6 13 0 1.000000 
6 14 0 1.000000 
6 15 0 1.000000 
6 16 0 1.000000 
6 17 0 1.000000 
6 18 0 1.000000 
6 19 0 1.000000 
6 20 0 1.000000 
6 21 0 1.000000 
6 22 0 1.000000 
6 23 0 1.000000 
7 0 0 1.000000 
7 1 0 1.000000 
7 2 0 1.000000 
7 3 0 1.000000 
7 4 0 1.000000 
7 5 0 1.000000 
7 6 0 1.000000 
7 7 0 1.000000 
7 8 0 1.000000 
7 9 0 1.000000 
7 10 0 1.000000 
7 11 0 1.000000 
7 12 0 1.000000 
7 13 0 1.000000 
7 14 0 1.000000 
7 15 0 1.000000 
7 16 0 1.000000 
7 17 0 1.000000 
7 18 0 1.000000 
7 19 0 1.000000 
7 20 0 1.000000 
7 21 0 1.000000 
7 22 0 1.000000 
7 23 0 1.000000 
8 0 0 1.000000 
8 1 0 1.000000 
8 2 0 1.000000 
8 3 0 1.000000 
8 4 0 1.000000 
8 5 0 1.000000 
8 6 0 1.000000 
8 7 0 1.000000 
8 8 0 1.000000 
8 9 0 1.000000 
8 10 0 1.000000 
8 11 0 1.000000 
8 12 0 1.000000 
8 13 0 1.000000 
8 14 0 1.000000 
8 15 0 1.000000 
8 16 0 1.000000 
8 17 0 1.000000 
8 18 0 1.000000 
8 19 0 1.000000 
8 20 0 1.000000 
8 21 0 1.000000 
8 22 0 1.000000 
8 23 0 1.000000 
9 0 0 1.000000 
9 1 0 1.000000 
9 2 0 1.000000 
9 3 0 1.000000 
9 4 0 1.000000 
9 5 0 1.000000 
9 6 0 1.000000 
9 7 0 1.000000 
9 8 0 1.000000 
9 9 0 1.000000 
9 10 0 1.000000 
9 11 0 1.000000 
9 12 0 1.000000 
9 13 0 1.000000 
9 14 0 1.000000 
9 15 0 1.000000 
9 16 0 1.000000 
9 17 0 1.000000 
9 18 0 1.000000 
9 19 0 1.000000 
9 20 0 1.000000 
9 21 0 1.000000 
9 22 0 1.000000 
9 23 0 1.000000 
10 0 0 1.000000 
10 1 0 1.000000 
10 2 0 1.000000 
10 3 0 1.000000 
10 4 0 1.000000 
10 5 0 1.000000 
10 6 0 1.000000 
10 7 0 1.000000 
10 8 0 1.000000 
10 9 0 1.000000 
10 10 0 1.000000 
10 11 0 1.000000 
10 12 0 1.000000 
10 13 0 1.000000 
10 14 0 1.000000 
10 15 0 1.000000 
10 16 0 1.000000 
10 17 0 1.000000 
10 18 0 1.000000 
10 19 0 1.000000 
10 20 0 1.000000 
10 21 0 1.000000 
10 22 0 1.000000 
10 23 0 1.000000 
11 0 0 1.000000 
11 1 0 1.000000 
11 2 0 1.000000 
11 3 0 1.000000 
11 4 0 1.000000 
11 5 0 1.000000 
11 6 0 1.000000 
11 7 0 1.000000 
11 8 0 1.000000 
11 9 0 1.000000 
11 10 0 1.000000 
11 11 0 1.000000 
11 12 0 1.000000 
11 13 0 1.000000 
11 14 0 1.000000 
11 15 0 1.000000 
11 16 0 1.000000 
11 17 0 1.000000 
11 18 0 1.000000 
11 19 0 1.000000 
11 20 0 1.000000 
11 21 0 1.000000 
11 22 0 1.000000 
11 23 0 1.000000 
12 0 0 1.000000 
12 1 0 1.000000 
12 2 0 1.000000 
12 3 0 1.000000 
12 4 0 1.000000 
12 5 0 1.000000 
12 6 0 1.000000 
12 7 0 1.000000 
12 8 0 1.000000 
12 9 0 1.000000 
12 10 0 1.000000 
12 11 0 1.000000 
12 12 0 1.000000 
12 13 0 1.000000 
12 14 0 1.000000 
12 15 0 1.000000 
12 16 0 1.000000 
12 17 0 1.000000 
12 18 0 1.000000 
12 19 0 1.000000 
12 20 0 1.000000 
12 21 0 1.000000 
12 22 0 1.000000 
12 23 0 1.000000 
13 0 0 1.000000 
13 1 0 1.000000 
13 2 0 1.000000 
13 3 0 1.000000 
13 4 0 1.000000 
13 5 0 1.000000 
13 6 0 1.000000 
13 7 0 1.000000 
13 8 0 1.000000 
13 9 0 1.000000 
13 10 0 1.000000 
13 11 0 1.000000 
13 12 0 1.000000 
13 13 0 1.000000 
13 14 0 1.000000 
13 15 0 1.000000 
13 16 0 1.000000 
13 17 0 1.000000 
13 18 0 1.000000 
13 19 0 1.000000 
13 20 0 1.000000 
13 21 0 1.000000 
13 22 0 1.000000 
13 23 0 1.000000 
14 0 0 1.000000 
14 1 0 1.000000 
14 2 0 1.000000 
14 3 0 1.000000 
14 4 0 1.000000 
14 5 0 1.000000 
14 6 0 1.000000 
14 7 0 1.000000 
14 8 0 1.000000 
14 9 0 1.000000 
14 10 0 1.000000 
14 11 0 1.000000 
14 12 0 1.000000 
14 13 0 1.000000 
14 14 0 1.000000 
14 15 0 1.000000 
14 16 0 1.000000 
14 17 0 1.000000 
14 18 0 1.000000 
14 19 0 1.000000 
14 20 0 1.000000 
14 21 0 1.000000 
14 22 0 1.000000 
14 23 0 1.000000;

